entreprise,site_web,score,annee_creation,cms,nb_pages,blog,blog_url,rss,derniere_maj_blog,frequence_publication,activite,derniere_maj_site,sitemap,pages_sans_meta_desc,pages_sans_h1,mots_moy_page,resume
SYNDICAT PROFESSIONNEL DES PILOTES MARITIMES,https://lamanage-syndicatpro.fr/,5.5,1900,WordPress,10.0,False,,True,,,inconnu,,False,10.0,5.0,515.0,"Score 5.5/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 10 pages sans meta desc, 5 pages sans H1."
PINBALL BOAT,https://www.pinball-boat.com/,5.5,2015,,10.0,True,https://www.pinball-boat.com/fr/actualites,False,,,inconnu,,False,0.0,8.0,183.0,"Score 5.5/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : nan, 8 pages sans H1."
RC MARINE LA ROCHELLE,https://www.rc-marine.fr/,5.0,1990,,10.0,True,https://www.rc-marine.fr/fr/actualites,False,,,inconnu,,False,9.0,0.0,286.0,"Score 5.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : nan, 9 pages sans meta desc."
SA CHANTIERS AMEL,https://amel.fr/,4.5,1978,WordPress,10.0,True,https://amel.fr/newsletter,True,,,semi-actif,2026-02-10,False,8.0,7.0,814.0,"Score 4.5/10. Opportunités : pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress, 8 pages sans meta desc, 7 pages sans H1."
SPL D EXPLOITATION DU PORT DEPARTEMENTAL DE SAINT-JEAN-DE-LUZ-CIBOURE,https://www.port-saintjeandeluz-ciboure.com/,4.5,2022,WordPress,10.0,True,https://www.port-saintjeandeluz-ciboure.com/actualites,True,2026-02-13,trimestrielle,actif,2026-02-13,False,2.0,4.0,193.0,"Score 4.5/10. Opportunités : pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress, 2 pages sans meta desc, 4 pages sans H1."
CHANTIER NAUTIQUE DU VIEUX PORT,https://chantiernautiqueduvieuxport.com/,4.0,1988,WordPress,10.0,False,,True,,,semi-actif,2026-01-27,False,1.0,0.0,220.0,"Score 4.0/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress, 1 pages sans meta desc."
GRASSI BATEAUX SARL,https://www.grassibateaux.com/,4.0,1997,WordPress,10.0,True,https://www.grassibateaux.com/actualites,False,,,semi-actif,2026-02-05,False,6.0,0.0,395.0,"Score 4.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (4%), CMS : WordPress, 6 pages sans meta desc."
DUBOURDIEU 1800,https://www.dubourdieu.fr/,4.0,2000,WordPress,10.0,True,https://www.dubourdieu.fr/press/,True,,,inconnu,,False,9.0,6.0,556.0,"Score 4.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 9 pages sans meta desc, 6 pages sans H1."
B2 MARINE,https://www.b2marine.fr/,4.0,1986,,10.0,True,https://www.b2marine.fr/fr/presse,False,,,inconnu,,True,4.0,5.0,327.0,"Score 4.0/10. Opportunités : ratio texte/HTML faible (5%), CMS : nan, 4 pages sans meta desc, 5 pages sans H1."
OCEA,https://www.ocea.fr/,3.5,1987,WordPress,5.0,False,,False,,,semi-actif,2025-10-10,False,0.0,1.0,442.0,"Score 3.5/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress, 1 pages sans H1."
GRAND PORT MARITIME DE LA ROCHELLE,https://www.larochelle.port.fr/,3.0,2006,,10.0,True,https://www.larochelle.port.fr/nos-engagements/ressources-humaines/cartographie-des-metiers-du-port,False,,,inconnu,,False,0.0,0.0,337.0,"Score 3.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (4%), CMS : nan."
FOUNTAINE PAJOT,https://www.fountaine-pajot.com/,3.0,1900,WordPress,10.0,True,https://www.fountaine-pajot.com/newsroom,False,2024-10-03,rare,semi-actif,2024-10-03,False,0.0,0.0,1433.0,"Score 3.0/10. Opportunités : blog semi-actif, pas de sitemap, ratio texte/HTML faible (8%), CMS : WordPress."
BOLUDA LA ROCHELLE,https://boluda.fr/,3.0,1988,WordPress,10.0,True,https://boluda.fr/media,True,,,semi-actif,2025-11-17,False,0.0,9.0,492.0,"Score 3.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress, 9 pages sans H1."
ROTOMOD,https://www.rotomod-design.com/,2.5,1973,WordPress,10.0,False,,False,,,semi-actif,2025-10-14,False,1.0,3.0,491.0,"Score 2.5/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 1 pages sans meta desc, 3 pages sans H1."
EXEL YACHTING,https://www.exel-industries.com/,2.0,1996,WordPress,10.0,True,https://www.exel-industries.com/publications-financieres,True,2026-02-09,rare,actif,2026-02-09,True,1.0,9.0,1206.0,"Score 2.0/10. Opportunités : ratio texte/HTML faible (5%), CMS : WordPress, 1 pages sans meta desc, 9 pages sans H1."
UCHIMATA SERVICES,https://uchimata-shop.fr/,2.0,2021,Shopify,10.0,True,https://uchimata-shop.fr/blog.html,False,,,inconnu,,False,4.0,1.0,464.0,"Score 2.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (3%), CMS : Shopify, 4 pages sans meta desc, 1 pages sans H1."
SEALVER,https://sealver.com/,2.0,2009,WordPress,10.0,True,https://sealver.com/press-articles-news-sealver-waveboat/,True,,,semi-actif,2026-01-26,False,0.0,4.0,445.0,"Score 2.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 4 pages sans H1."
NAUTITECH CATAMARANS,https://www.nautitechcatamarans.com/,1.5,1990,Drupal,10.0,True,https://www.nautitechcatamarans.com/fr/actualites-et-evenements.html,False,,,inconnu,,True,5.0,2.0,1703.0,"Score 1.5/10. Opportunités : ratio texte/HTML faible (13%), CMS : Drupal, 5 pages sans meta desc, 2 pages sans H1."
STRATO COMPO,https://www.stratocompo.com/,1.0,1998,WordPress,10.0,True,https://www.stratocompo.com/actualites-composites/2015/05/30/radikal-26-voile-magazine-juin-2015.html,False,,,inconnu,,True,0.0,0.0,452.0,"Score 1.0/10. Opportunités : ratio texte/HTML faible (8%), CMS : WordPress."
SURVITEC SAS,https://survitecgroup.com/,1.0,2008,,10.0,True,https://survitecgroup.com/media/news/survitec-appoints-robert-steen-kledal-as-ceo,False,,,inconnu,,True,0.0,1.0,975.0,"Score 1.0/10. Opportunités : ratio texte/HTML faible (3%), CMS : nan, 1 pages sans H1."
C3 TECHNOLOGIES,http://www.c3technologies.fr/,1.0,2008,WordPress,10.0,True,http://www.c3technologies.fr/actualites,True,,,abandonné,2020-11-04,False,1.0,1.0,750.0,"Score 1.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (10%), CMS : WordPress, 1 pages sans meta desc, 1 pages sans H1."
BY PAINT SERVICE,https://paintslab.com/,1.0,2021,Shopify,10.0,True,https://paintslab.com/blogs/news,False,,,inconnu,,False,1.0,0.0,1087.0,"Score 1.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : Shopify, 1 pages sans meta desc."
RM YACHTS,https://www.rm-yachts.com/,1.0,2017,WordPress,10.0,True,https://www.rm-yachts.com/newsletter-rm-yachts,True,,,semi-actif,2026-01-13,False,1.0,1.0,479.0,"Score 1.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 1 pages sans meta desc, 1 pages sans H1."
NAVAL GROUP,https://www.naval-group.com/,1.0,2002,Drupal,10.0,True,https://www.naval-group.com/fr/actualites-0,False,,,inconnu,,True,3.0,0.0,1051.0,"Score 1.0/10. Opportunités : ratio texte/HTML faible (7%), CMS : Drupal, 3 pages sans meta desc."
